                      mean          std       2.5q        25q         50q        75q      97.5q       mc err
t_subj(lv).783    0.146284  0.000950391   0.144235   0.145733    0.146389   0.146949   0.147818  2.10438e-05
t_subj(lv).784    0.122083    0.0018635   0.118118   0.120866    0.122195   0.123404   0.125392  4.17178e-05
z                  0.44425   0.00667668   0.431169   0.439654     0.44423   0.448642   0.457397  0.000146567
z_std             0.127966    0.0159801  0.0998114   0.116406    0.126839   0.138632    0.16119  0.000368014
z_subj.761        0.399552   0.00772131   0.384041   0.394347    0.399552   0.404924   0.414447  0.000235857
z_subj.762        0.436241   0.00762406   0.420983   0.431063    0.436406    0.44149   0.450765  0.000239384
z_subj.763        0.475784   0.00747789   0.460797   0.470822    0.475867   0.480858   0.490749  0.000203477
z_subj.764        0.461241   0.00792496    0.44615   0.455696    0.461162   0.466721   0.476771  0.000210801
z_subj.765        0.396635   0.00759064   0.381532   0.391739    0.396688   0.401491   0.411601  0.000248568
z_subj.766        0.400905   0.00778977   0.385689   0.395741    0.401007   0.406289   0.415625  0.000246699
z_subj.767        0.454483   0.00781804   0.439557   0.449237    0.454453   0.459753   0.469803  0.000247854
z_subj.768        0.499304   0.00733518   0.484905   0.494452    0.499381   0.504222   0.513611   0.00019906
z_subj.769        0.413856   0.00755458   0.397993   0.408804    0.413976   0.419028    0.42843  0.000218341
z_subj.770        0.438808   0.00748629   0.424528   0.433498    0.438799    0.44375   0.453541  0.000253557
z_subj.771        0.507359   0.00791831   0.492203   0.501719     0.50729   0.512849   0.522916   0.00025024
z_subj.772        0.503733   0.00743644   0.489336   0.498798    0.503689   0.508799   0.518146  0.000201463
z_subj.773        0.427155   0.00784746    0.41167   0.421779    0.427076   0.432315   0.442828  0.000270463
z_subj.774         0.43791   0.00762599   0.423177   0.432743    0.437899   0.442965    0.45273   0.00025789
z_subj.775        0.496851   0.00742601   0.482412   0.491765     0.49688   0.502018   0.511416  0.000212346
z_subj.776         0.42216   0.00799536   0.405958   0.416919    0.422099   0.427654   0.438087  0.000258858
z_subj.777        0.418981   0.00808301   0.402264   0.413696    0.419102   0.424247   0.434629  0.000238673
z_subj.778        0.449063   0.00791413    0.43314   0.443925    0.449066   0.454303   0.464556  0.000205157
z_subj.779        0.433535   0.00802866   0.417645   0.427806    0.433812   0.438832   0.449142  0.000247312
z_subj.780        0.451818   0.00820203    0.43593   0.446159    0.451694   0.457419   0.467788  0.000249609
z_subj.781          0.4258   0.00759558    0.41081   0.420784    0.425832   0.430925    0.44046  0.000217248
z_subj.782         0.44484   0.00791229   0.429601   0.439616    0.444778   0.449958   0.461049  0.000226974
z_subj.783        0.401122   0.00783068   0.386868   0.395885    0.400965   0.406381   0.416771  0.000249082
z_subj.784        0.469589   0.00767785   0.454351   0.464574    0.469469   0.474747   0.484331  0.000211206
DIC: -26556.035625
deviance: -26719.224808
pD: 163.189183
