                      mean          std        2.5q        25q         50q         75q      97.5q       mc err
t_subj(lv).777    0.178568   0.00125406    0.175983   0.177767    0.178616    0.179461   0.180838  3.48408e-05
t_subj(lv).778    0.117692   0.00154767    0.114388   0.116744    0.117822    0.118826   0.120287  3.54548e-05
t_subj(lv).779    0.137955   0.00123817    0.135168     0.1372     0.13806    0.138829   0.140045  3.03335e-05
t_subj(lv).780    0.234674   0.00131264    0.231734   0.233908    0.234785    0.235588   0.236963  3.48496e-05
t_subj(lv).781    0.144584  0.000778735    0.142892     0.1441     0.14465    0.145131   0.145927  1.66075e-05
t_subj(lv).782    0.160961   0.00154471    0.157664   0.159963    0.161065    0.162078   0.163661  4.17479e-05
t_subj(lv).783    0.146565  0.000834424    0.144633   0.146066    0.146642    0.147145   0.148011  1.78729e-05
t_subj(lv).784    0.125526   0.00152173    0.122291   0.124495    0.125642    0.126614   0.128208  3.39619e-05
z                 0.440847   0.00667991    0.427775   0.436415    0.440835    0.445305   0.453825  0.000137186
z_std             0.131681    0.0166927    0.102681   0.119955    0.130704    0.142066   0.168125  0.000359025
z_subj.761        0.397738   0.00779583    0.382696   0.392591    0.397848    0.403168   0.412934  0.000248512
z_subj.762        0.431918   0.00760825    0.417445    0.42667    0.431857    0.436856   0.447996  0.000229543
z_subj.763        0.475038    0.0077042    0.460501   0.469808    0.474779    0.480278   0.490801   0.00023792
z_subj.764        0.460683    0.0075948    0.446207   0.455429    0.460437    0.466119   0.475608  0.000233965
z_subj.765        0.397833   0.00749971    0.383484   0.392692    0.397766    0.402771   0.412944  0.000223587
z_subj.766         0.40122   0.00765379    0.386035   0.396214    0.401024    0.406291   0.416455  0.000237757
z_subj.767         0.44594   0.00789883    0.430542   0.440583     0.44615    0.451227    0.46136  0.000275064
z_subj.768         0.49936   0.00738783    0.484629   0.494259    0.499346    0.504384   0.513897  0.000231411
z_subj.769        0.411853   0.00793794    0.395563   0.406576    0.411928     0.41744   0.427313  0.000254947
z_subj.770        0.417798   0.00792584    0.402591   0.412484    0.417564    0.423231   0.433909  0.000260585
z_subj.771          0.5059   0.00828889     0.49021    0.50015    0.505895    0.511467    0.52322  0.000276455
z_subj.772        0.503293   0.00749816    0.488301   0.498476    0.503451    0.508139   0.518196   0.00023046
z_subj.773        0.416126   0.00796304    0.400646   0.410664    0.416179    0.421595   0.431905  0.000297834
z_subj.774        0.432004   0.00751174    0.417639   0.426952    0.432125    0.437289   0.446153  0.000246658
z_subj.775         0.49663   0.00760489    0.481092   0.491534    0.496555    0.501574   0.511604  0.000227879
z_subj.776         0.41993   0.00794124    0.404333    0.41461    0.420009    0.425347   0.435553  0.000223284
z_subj.777        0.415523    0.0079293    0.399694   0.410102    0.415588    0.420967   0.430903  0.000247787
z_subj.778        0.441281   0.00734117    0.427181   0.436365    0.441314    0.445952   0.456265  0.000205152
z_subj.779        0.430613   0.00801741    0.415269   0.425009    0.430566    0.436155   0.446659  0.000251334
z_subj.780        0.447137   0.00780051    0.431211   0.442203    0.447173    0.452234    0.46204  0.000236331
z_subj.781        0.421609   0.00781853    0.406444   0.416303    0.421438    0.426851   0.437448  0.000221934
z_subj.782        0.444358   0.00806262    0.428881   0.438943    0.444039    0.449851    0.46052  0.000256362
z_subj.783         0.39899   0.00769507    0.384231   0.393609    0.399088    0.404289   0.414496  0.000219166
z_subj.784        0.471755    0.0075162    0.456534   0.466855    0.471834    0.476773   0.486684  0.000214864
DIC: -27702.061693
deviance: -27933.769383
pD: 231.707691
