                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
v_subj(lv).2       1.14767     0.105044     0.948282      1.07615      1.14386      1.21905      1.35582   0.00236701
v_subj(lv).3       1.28042    0.0868279      1.11183      1.22305      1.27847      1.33683      1.45598   0.00204031
v_subj(lv).4       1.73484      0.14652      1.44872      1.63373      1.73384       1.8343      2.02305   0.00342528
v_subj(lv).5       1.40086      0.12714      1.14841      1.31624      1.40066      1.48804      1.64932   0.00324634
v_subj(lv).6       2.11288      0.16581      1.79426      2.00263      2.11142      2.22126      2.44848   0.00399491
v_subj(lv).7       1.32457     0.173775     0.975904       1.2121      1.32533      1.43671       1.6582   0.00365647
v_subj(lv).8       1.65645     0.124501      1.40758      1.57294      1.65695      1.73945      1.89693   0.00307379
v_subj(lv).9       1.22178     0.134755      0.96615      1.13114      1.21921       1.3106      1.50317   0.00354355
v_subj(lv).10      1.04445     0.123599     0.795632      0.96133      1.05235      1.12807      1.28393   0.00301156
v_subj(lv).11      2.14686     0.185002      1.78311      2.02311        2.144      2.27291       2.5013   0.00474503
v_subj(lv).12      1.58909     0.188795        1.218      1.46453      1.58819      1.71377      1.96533   0.00421715
v_subj(lv).13     0.780394    0.0989489     0.579054      0.71443     0.779676     0.846189     0.976639   0.00235583
v_subj(lv).14      1.33309     0.168261      1.00403      1.22237       1.3316      1.44389      1.67235   0.00406281
v_subj(lv).15      1.44982     0.154685      1.14476       1.3449       1.4527      1.55086      1.75702   0.00333538
v_subj(lv).16      1.61681     0.114424      1.39435      1.54168      1.61691      1.68812       1.8432    0.0025532
v_subj(lv).17      1.55438    0.0851409      1.39052      1.49817      1.55389      1.61164      1.72317   0.00206618
v_subj(lv).18      1.23869     0.105271      1.03385      1.16829      1.23573       1.3078      1.45227    0.0024892
v_subj(lv).19      1.21899     0.146135     0.932417      1.12218      1.21866       1.3148      1.50995   0.00333193
v_subj(lv).20      1.07969     0.106931     0.878858      1.00296      1.08113      1.14926      1.29916   0.00236753
v_subj(lv).21      1.02711     0.147338     0.740211     0.930452      1.02802      1.12564      1.32141   0.00363046
v_subj(lv).22       1.1087     0.123509     0.877561      1.02496      1.10654       1.1953      1.34528   0.00313484
v_subj(lv).23      1.70771     0.114687      1.47681      1.63242      1.70572      1.78411      1.93384    0.0028159
t(hc)             0.187404    0.0294343     0.136053     0.166914     0.184796     0.205815     0.250838   0.00133355
t(hv)             0.186564    0.0299418     0.134559     0.165422     0.184177     0.205649     0.251217   0.00141519
t(lc)             0.185233    0.0287396     0.135294     0.164458     0.183886      0.20411     0.244284   0.00129861
t(lv)             0.184643    0.0293604     0.133862     0.162601     0.182909     0.204079     0.247631    0.0013994
