                     mean          std       2.5q        25q        50q        75q      97.5q       mc err
z_subj(hv).774   0.422967    0.0125126   0.398998   0.413821   0.422841   0.431797   0.446498  0.000284783
z_subj(hv).775   0.505142    0.0126022   0.481008   0.496645   0.505054   0.513727   0.530584  0.000341796
z_subj(hv).776   0.415331    0.0128192    0.38954   0.406792    0.41555   0.423837    0.44026  0.000331853
z_subj(hv).777   0.405789    0.0125322   0.382098   0.397154   0.405633   0.413818   0.430748  0.000337011
z_subj(hv).778   0.426472    0.0123106   0.402862   0.418224   0.426488   0.434595   0.450943  0.000320008
z_subj(hv).779   0.451667    0.0128535   0.427527   0.443007   0.451515    0.46045   0.476687  0.000325085
z_subj(hv).780   0.462333    0.0123406   0.438889   0.453936   0.462231   0.470772   0.485774  0.000314599
z_subj(hv).781   0.437698     0.011852   0.414799   0.429738   0.437648   0.445542   0.460903  0.000281332
z_subj(hv).782   0.436829    0.0126084   0.412483    0.42838   0.436949   0.445277   0.461539  0.000277537
z_subj(hv).783   0.401359    0.0119829   0.377789    0.39364   0.401374   0.409467   0.424472  0.000308532
z_subj(hv).784   0.455552    0.0124885    0.43071   0.447017   0.455828   0.464076   0.479646  0.000344026
z_subj(lc).761   0.464539      0.01291   0.439212   0.455827   0.464745   0.473322   0.489371  0.000328623
z_subj(lc).762   0.513768     0.012272   0.488939    0.50594   0.513699   0.521918    0.53765   0.00029957
z_subj(lc).763   0.487235    0.0118442    0.46342    0.47922   0.487087    0.49536   0.511132  0.000286481
z_subj(lc).764   0.486739    0.0132391   0.461282   0.477685    0.48685   0.495794   0.512673   0.00032624
z_subj(lc).765   0.401789    0.0122418   0.377394   0.393489   0.402337   0.410129   0.425571  0.000297214
z_subj(lc).766   0.400354     0.012917   0.374616   0.391842   0.400168   0.409293   0.424801  0.000321158
z_subj(lc).767   0.543376     0.012343   0.519212    0.53509   0.543177   0.551792   0.566921  0.000320715
z_subj(lc).768   0.494932    0.0117737   0.472035   0.486692   0.494848    0.50274   0.518054  0.000270617
z_subj(lc).769   0.449336    0.0121465   0.425096    0.44107   0.449518   0.457487   0.473336  0.000325889
z_subj(lc).770   0.464168     0.012254   0.439755   0.456107   0.464327   0.472383   0.488277  0.000305986
z_subj(lc).771   0.495687    0.0125539   0.471572   0.486891   0.496063   0.504219   0.519579  0.000310581
z_subj(lc).772   0.506674    0.0123315   0.482163   0.498145   0.507018    0.51481   0.530496  0.000268607
z_subj(lc).773   0.487833    0.0123433   0.463931   0.479634    0.48774    0.49611   0.512943  0.000314625
z_subj(lc).774   0.480621    0.0120761   0.457099   0.472509   0.481093   0.489025   0.504273  0.000286983
z_subj(lc).775   0.493922    0.0117224   0.470339   0.486091   0.494088   0.501843   0.516084   0.00027581
z_subj(lc).776   0.452344    0.0122585   0.428116   0.444014   0.452548   0.460703   0.476275  0.000316281
z_subj(lc).777   0.434806    0.0123219   0.410431     0.4264   0.434646   0.443031   0.459728  0.000338274
z_subj(lc).778   0.448857    0.0126551    0.42317    0.44068   0.449034   0.457205    0.47371  0.000283726
z_subj(lc).779   0.424771    0.0125111   0.400084   0.416797   0.424589   0.433103   0.449594  0.000302243
z_subj(lc).780   0.491372    0.0123986    0.46626   0.483155   0.491348   0.499698   0.514894  0.000305685
z_subj(lc).781   0.431806    0.0123598    0.40715   0.423417    0.43209   0.440219   0.455077  0.000316711
z_subj(lc).782   0.446247    0.0126535   0.421833     0.4379   0.446007   0.454386   0.472306  0.000302679
z_subj(lc).783   0.404437    0.0119555   0.380971   0.395973   0.404525   0.412907      0.428  0.000305203
z_subj(lc).784   0.475903    0.0129777   0.449733   0.467489    0.47585    0.48424   0.500746  0.000299616
z_subj(lv).761   0.399299    0.0122121   0.374863   0.391126    0.39953   0.407614   0.422847   0.00029398
z_subj(lv).762   0.424009    0.0121555   0.401027    0.41571   0.423726   0.432238   0.448785  0.000280794
z_subj(lv).763   0.473444    0.0121654   0.449048   0.465117   0.473724   0.481384   0.497372  0.000274182
z_subj(lv).764   0.459754     0.012597   0.434921   0.451123   0.459807   0.468664   0.483971  0.000351956
z_subj(lv).765   0.410128    0.0123474   0.386353   0.401779   0.410143   0.418335   0.435334  0.000336186
z_subj(lv).766   0.432205    0.0126525   0.407991   0.423741   0.432289   0.440574   0.457175  0.000316115
z_subj(lv).767   0.421119    0.0125979   0.396289   0.412873   0.421188   0.430025     0.4452  0.000298956
z_subj(lv).768   0.499913    0.0121018   0.476026   0.491914   0.500031   0.508144   0.523356   0.00030221
z_subj(lv).769   0.400543    0.0123381   0.375918   0.392293   0.400809   0.408864   0.424715  0.000328294
z_subj(lv).770   0.486433    0.0112872   0.464276   0.478513    0.48663   0.494412   0.507543  0.000260286
z_subj(lv).771   0.505836    0.0127721   0.480242   0.497065   0.506125   0.514674    0.53094  0.000357074
z_subj(lv).772   0.497608    0.0121337   0.473915    0.48922    0.49776   0.505686   0.522303  0.000301151
z_subj(lv).773    0.45213    0.0127118   0.427755   0.443304    0.45229   0.460533   0.477849  0.000319796
z_subj(lv).774   0.428314    0.0127699   0.403252   0.419523   0.428454    0.43715    0.45311  0.000267173
z_subj(lv).775   0.482799    0.0119401   0.459901   0.474611    0.48264   0.490628   0.507472  0.000278609
z_subj(lv).776    0.42545    0.0123702   0.400942   0.417071    0.42524   0.434149   0.448678  0.000311161
z_subj(lv).777   0.458083    0.0127554   0.432786    0.44964   0.458039    0.46697   0.482774  0.000355387
z_subj(lv).778   0.480836    0.0124445   0.457455   0.472118    0.48063   0.489533   0.505709  0.000274114
z_subj(lv).779   0.447226    0.0126347   0.422642   0.438612   0.447298   0.455868   0.472151  0.000342238
z_subj(lv).780   0.442957    0.0124153   0.418271   0.434387   0.443311   0.451317   0.467688  0.000317838
z_subj(lv).781   0.428552    0.0126774   0.404299   0.420031   0.428253   0.436986   0.453825  0.000296192
z_subj(lv).782    0.45596    0.0119991   0.432069   0.447824    0.45593   0.464025   0.479805  0.000274717
z_subj(lv).783   0.426883    0.0124363   0.401992   0.418795   0.426769   0.435077   0.451422  0.000332793
z_subj(lv).784   0.455973     0.011976   0.431846   0.448299   0.456012   0.464166   0.479335  0.000278804
DIC: -26886.792236
deviance: -27112.784411
pD: 225.992174
