choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,5.874000000000000000e+03,2.908861637115478516e-01,1.760862112045288086e+00,4.838401279277578793e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,5.933000000000000000e+03,2.512340545654296875e-01,1.509082078933715820e+00,2.599199477139457204e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,5.995000000000000000e+03,2.872960567474365234e-01,1.601599931716918945e+00,3.281645218864320257e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,6.051000000000000000e+03,3.003649711608886719e-01,1.574784040451049805e+00,2.863966480687220595e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,6.086000000000000000e+03,2.790620326995849609e-01,1.582798004150390625e+00,3.025582109402164543e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,6.141000000000000000e+03,2.627770900726318359e-01,1.708905220031738281e+00,4.447567903706501902e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,6.205000000000000000e+03,3.908681869506835938e-01,1.918016910552978516e+00,5.460375919402260525e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000000e+01,6.269000000000000000e+03,3.142719268798828125e-01,1.888580083847045898e+00,5.846879472039809844e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.200000000000000000e+01,6.331000000000000000e+03,2.663140296936035156e-01,1.746012926101684570e+00,4.808729351005215924e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,6.396000000000000000e+03,4.230120182037353516e-01,1.943178892135620117e+00,5.407457314934658310e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,6.455000000000000000e+03,3.360950946807861328e-01,1.759629011154174805e+00,4.339128035863338284e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,6.515000000000000000e+03,7.684869766235351562e-01,2.020521879196166992e+00,2.546827967887425603e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,6.572000000000000000e+03,3.248980045318603516e-01,1.662153959274291992e+00,3.501306790690030812e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,6.628000000000000000e+03,2.912878990173339844e-01,1.934650182723999023e+00,6.512067938437386960e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,6.694000000000000000e+03,3.840119838714599609e-01,2.005760908126831055e+00,6.237312164580031126e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,6.754000000000000000e+03,3.030960559844970703e-01,1.813110828399658203e+00,5.203722424902874621e-01,0.000000000000000000e+00
