"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
0,2.922041,0.861702,0.2,0.8,0,0,3,1,"lc",188,"23",6,784,111,0.15,0.85,20
2.63037,0,0.857143,0.238095,0.761905,0,1,3,1,"lc",189,"23",6,784,111,0.15,0.85,21
2.054757,0,0.852632,0.272727,0.727273,0,0,3,1,"lc",190,"23",6,784,111,0.15,0.85,22
0,2.248093,0.853403,0.26087,0.73913,0,1,3,1,"lc",191,"23",6,784,111,0.15,0.85,23
0,2.768933,0.854167,0.25,0.75,0,0,3,1,"lc",192,"23",6,784,111,0.15,0.85,24
0,3.103983,0.854922,0.24,0.76,0,0,3,1,"lc",193,"23",6,784,111,0.15,0.85,25
2.560194,0,0.85567,1,0,1,1,3,1,"lc",194,"23",7,784,112,0.85,0.15,1
2.149687,0,0.85641,1,0,0,0,3,1,"lc",195,"23",7,784,112,0.85,0.15,2
1.595251,0,0.857143,1,0,0,0,3,1,"lc",196,"23",7,784,112,0.85,0.15,3
3.65115,0,0.857868,1,0,0,0,3,1,"lc",197,"23",7,784,112,0.85,0.15,4
3.520064,0,0.858586,1,0,0,0,3,1,"lc",198,"23",7,784,112,0.85,0.15,5
0,2.029161,0.854271,0.833333,0.166667,0,1,3,1,"lc",199,"23",7,784,112,0.85,0.15,6
3.030313,0,0.855,0.857143,0.142857,0,1,3,1,"lc",200,"23",7,784,112,0.85,0.15,7
3.848802,0,0.855721,0.875,0.125,0,0,3,1,"lc",201,"23",7,784,112,0.85,0.15,8
2.583003,0,0.856436,0.888889,0.111111,0,0,3,1,"lc",202,"23",7,784,112,0.85,0.15,9
4.676439,0,0.857143,0.9,0.1,0,0,3,1,"lc",203,"23",7,784,112,0.85,0.15,10
2.544525,0,0.857843,0.909091,0.090909,0,0,3,1,"lc",204,"23",7,784,112,0.85,0.15,11
3.363449,0,0.858537,0.916667,0.083333,0,0,3,1,"lc",205,"23",7,784,112,0.85,0.15,12
3.171785,0,0.859223,0.923077,0.076923,0,0,3,1,"lc",206,"23",7,784,112,0.85,0.15,13
3.52131,0,0.859903,0.928571,0.071429,0,0,3,1,"lc",207,"23",7,784,112,0.85,0.15,14
5.315721,0,0.860577,0.933333,0.066667,0,0,3,1,"lc",208,"23",7,784,112,0.85,0.15,15
3.841236,0,0.861244,0.9375,0.0625,0,0,3,1,"lc",209,"23",7,784,112,0.85,0.15,16
0,2.994579,0.857143,0.882353,0.117647,0,1,3,1,"lc",210,"23",7,784,112,0.85,0.15,17
0,5.133808,0.853081,0.833333,0.166667,0,0,3,1,"lc",211,"23",7,784,112,0.85,0.15,18
2.701087,0,0.853774,0.842105,0.157895,0,1,3,1,"lc",212,"23",7,784,112,0.85,0.15,19
2.27863,0,0.85446,0.85,0.15,0,0,3,1,"lc",213,"23",7,784,112,0.85,0.15,20
3.060988,0,0.85514,0.857143,0.142857,0,0,3,1,"lc",214,"23",7,784,112,0.85,0.15,21
0,2.351978,0.851163,0.818182,0.181818,0,1,3,1,"lc",215,"23",7,784,112,0.85,0.15,22
3.645845,0,0.851852,0.826087,0.173913,0,1,3,1,"lc",216,"23",7,784,112,0.85,0.15,23
3.309184,0,0.852535,0.833333,0.166667,0,0,3,1,"lc",217,"23",7,784,112,0.85,0.15,24
