"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
0,2.115514,0.765957,0.4,0.6,0,0,3,1,"lv",141,"23",4,784,111,0.25,0.75,5
0,4.245332,0.767606,0.333333,0.666667,0,0,3,1,"lv",142,"23",4,784,111,0.25,0.75,6
3.575731,0,0.762238,0.428571,0.571429,0,1,3,1,"lv",143,"23",4,784,111,0.25,0.75,7
0,3.860632,0.763889,0.375,0.625,0,1,3,1,"lv",144,"23",4,784,111,0.25,0.75,8
3.093759,0,0.758621,0.444444,0.555556,0,1,3,1,"lv",145,"23",4,784,111,0.25,0.75,9
0,2.909003,0.760274,0.4,0.6,0,1,3,1,"lv",146,"23",4,784,111,0.25,0.75,10
0,3.178493,0.761905,0.363636,0.636364,0,0,3,1,"lv",147,"23",4,784,111,0.25,0.75,11
2.067578,0,0.756757,0.416667,0.583333,0,1,3,1,"lv",148,"23",4,784,111,0.25,0.75,12
0,3.238766,0.758389,0.384615,0.615385,0,1,3,1,"lv",149,"23",4,784,111,0.25,0.75,13
0,1.520052,0.76,0.357143,0.642857,0,0,3,1,"lv",150,"23",4,784,111,0.25,0.75,14
0,2.968802,0.761589,0.333333,0.666667,0,0,3,1,"lv",151,"23",4,784,111,0.25,0.75,15
0,1.445171,0.763158,0.3125,0.6875,0,0,3,1,"lv",152,"23",4,784,111,0.25,0.75,16
2.667223,0,0.75817,0.352941,0.647059,0,1,3,1,"lv",153,"23",4,784,111,0.25,0.75,17
2.392195,0,0.753247,0.388889,0.611111,0,0,3,1,"lv",154,"23",4,784,111,0.25,0.75,18
0,4.916598,0.754839,0.368421,0.631579,0,1,3,1,"lv",155,"23",4,784,111,0.25,0.75,19
0,3.714372,0.75641,0.35,0.65,0,0,3,1,"lv",156,"23",4,784,111,0.25,0.75,20
0,2.625768,0.757962,0.333333,0.666667,0,0,3,1,"lv",157,"23",4,784,111,0.25,0.75,21
0,3.395129,0.759494,0.318182,0.681818,0,0,3,1,"lv",158,"23",4,784,111,0.25,0.75,22
0,4.869687,0.761006,0.304348,0.695652,0,0,3,1,"lv",159,"23",4,784,111,0.25,0.75,23
0,2.526572,0.7625,0.291667,0.708333,0,0,3,1,"lv",160,"23",4,784,111,0.25,0.75,24
0,3.921521,0.763975,0.28,0.72,0,0,3,1,"lv",161,"23",4,784,111,0.25,0.75,25
0,3.266279,0.765432,0.269231,0.730769,0,0,3,1,"lv",162,"23",4,784,111,0.25,0.75,26
3.212539,0,0.760736,0.296296,0.703704,0,1,3,1,"lv",163,"23",4,784,111,0.25,0.75,27
0,3.64211,0.762195,0.285714,0.714286,0,1,3,1,"lv",164,"23",4,784,111,0.25,0.75,28
0,4.343731,0.763636,0.275862,0.724138,0,0,3,1,"lv",165,"23",4,784,111,0.25,0.75,29
0,1.692131,0.76506,0.266667,0.733333,0,0,3,1,"lv",166,"23",4,784,111,0.25,0.75,30
0,4.836282,0.766467,0.258065,0.741935,0,0,3,1,"lv",167,"23",4,784,111,0.25,0.75,31
0,2.677711,0.767857,0.25,0.75,0,0,3,1,"lv",168,"23",4,784,111,0.25,0.75,32
0,2.907884,0.769231,0.242424,0.757576,0,0,3,1,"lv",169,"23",4,784,111,0.25,0.75,33
0,3.303455,0.770588,0.235294,0.764706,0,0,3,1,"lv",170,"23",4,784,111,0.25,0.75,34
1.778472,0,0.77193,1,0,1,1,3,1,"lv",171,"23",5,784,112,0.75,0.25,1
0,5.066411,0.767442,0.5,0.5,0,1,3,1,"lv",172,"23",5,784,112,0.75,0.25,2
2.87244,0,0.768786,0.666667,0.333333,0,1,3,1,"lv",173,"23",5,784,112,0.75,0.25,3
2.081557,0,0.770115,0.75,0.25,0,0,3,1,"lv",174,"23",5,784,112,0.75,0.25,4
